"","TIME","GEO","SEX","CITIZEN","AGE","WSTATUS","UNIT","Value","isoref"
"2",2008,"Belgium","Total","Total","From 15 to 64 years","Active persons","Thousand",4746600,"be"
"8",2008,"Belgium","Males","Total","From 15 to 64 years","Active persons","Thousand",2608600,"be"
"14",2008,"Belgium","Females","Total","From 15 to 64 years","Active persons","Thousand",2138100,"be"
"20",2008,"Bulgaria","Total","Total","From 15 to 64 years","Active persons","Thousand",3504700,"bg"
"26",2008,"Bulgaria","Males","Total","From 15 to 64 years","Active persons","Thousand",1858800,"bg"
"32",2008,"Bulgaria","Females","Total","From 15 to 64 years","Active persons","Thousand",1645900,"bg"
"38",2008,"Czechia","Total","Total","From 15 to 64 years","Active persons","Thousand",5162800,"cz"
"44",2008,"Czechia","Males","Total","From 15 to 64 years","Active persons","Thousand",2922100,"cz"
"50",2008,"Czechia","Females","Total","From 15 to 64 years","Active persons","Thousand",2240700,"cz"
"56",2008,"Denmark","Total","Total","From 15 to 64 years","Active persons","Thousand",2907800,"dk"
"62",2008,"Denmark","Males","Total","From 15 to 64 years","Active persons","Thousand",1533400,"dk"
"68",2008,"Denmark","Females","Total","From 15 to 64 years","Active persons","Thousand",1374400,"dk"
"74",2008,"Estonia","Total","Total","From 15 to 64 years","Active persons","Thousand",669600,"ee"
"80",2008,"Estonia","Males","Total","From 15 to 64 years","Active persons","Thousand",343700,"ee"
"86",2008,"Estonia","Females","Total","From 15 to 64 years","Active persons","Thousand",325900,"ee"
"92",2008,"Ireland","Total","Total","From 15 to 64 years","Active persons","Thousand",2311900,"ie"
"98",2008,"Ireland","Males","Total","From 15 to 64 years","Active persons","Thousand",1298300,"ie"
"104",2008,"Ireland","Females","Total","From 15 to 64 years","Active persons","Thousand",1013700,"ie"
"110",2008,"Greece","Total","Total","From 15 to 64 years","Active persons","Thousand",4910000,"gr"
"116",2008,"Greece","Males","Total","From 15 to 64 years","Active persons","Thousand",2871800,"gr"
"122",2008,"Greece","Females","Total","From 15 to 64 years","Active persons","Thousand",2038200,"gr"
"128",2008,"Spain","Total","Total","From 15 to 64 years","Active persons","Thousand",22908500,"es"
"134",2008,"Spain","Males","Total","From 15 to 64 years","Active persons","Thousand",13026400,"es"
"140",2008,"Spain","Females","Total","From 15 to 64 years","Active persons","Thousand",9882100,"es"
"146",2008,"France","Total","Total","From 15 to 64 years","Active persons","Thousand",27759400,"fr"
"152",2008,"France","Males","Total","From 15 to 64 years","Active persons","Thousand",14596000,"fr"
"158",2008,"France","Females","Total","From 15 to 64 years","Active persons","Thousand",13163300,"fr"
"164",2008,"Croatia","Total","Total","From 15 to 64 years","Active persons","Thousand",1890000,"hr"
"170",2008,"Croatia","Males","Total","From 15 to 64 years","Active persons","Thousand",1041000,"hr"
"176",2008,"Croatia","Females","Total","From 15 to 64 years","Active persons","Thousand",849000,"hr"
"182",2008,"Italy","Total","Total","From 15 to 64 years","Active persons","Thousand",24356500,"it"
"188",2008,"Italy","Males","Total","From 15 to 64 years","Active persons","Thousand",14313000,"it"
"194",2008,"Italy","Females","Total","From 15 to 64 years","Active persons","Thousand",10043500,"it"
"200",2008,"Cyprus","Total","Total","From 15 to 64 years","Active persons","Thousand",385700,"cy"
"206",2008,"Cyprus","Males","Total","From 15 to 64 years","Active persons","Thousand",209800,"cy"
"212",2008,"Cyprus","Females","Total","From 15 to 64 years","Active persons","Thousand",175900,"cy"
"218",2008,"Latvia","Total","Total","From 15 to 64 years","Active persons","Thousand",1096900,"lv"
