"","TIME","GEO","SEX","CITIZEN","AGE","WSTATUS","UNIT","Value","isoref"
"3",2008,"Belgium","Total","Total","From 15 to 64 years","Employed persons","Thousand",4413700,"be"
"9",2008,"Belgium","Males","Total","From 15 to 64 years","Employed persons","Thousand",2438700,"be"
"15",2008,"Belgium","Females","Total","From 15 to 64 years","Employed persons","Thousand",1974900,"be"
"21",2008,"Bulgaria","Total","Total","From 15 to 64 years","Employed persons","Thousand",3306200,"bg"
"27",2008,"Bulgaria","Males","Total","From 15 to 64 years","Employed persons","Thousand",1755500,"bg"
"33",2008,"Bulgaria","Females","Total","From 15 to 64 years","Employed persons","Thousand",1550800,"bg"
"39",2008,"Czechia","Total","Total","From 15 to 64 years","Employed persons","Thousand",4933500,"cz"
"45",2008,"Czechia","Males","Total","From 15 to 64 years","Employed persons","Thousand",2819900,"cz"
"51",2008,"Czechia","Females","Total","From 15 to 64 years","Employed persons","Thousand",2113700,"cz"
"57",2008,"Denmark","Total","Total","From 15 to 64 years","Employed persons","Thousand",2806700,"dk"
"63",2008,"Denmark","Males","Total","From 15 to 64 years","Employed persons","Thousand",1484000,"dk"
"69",2008,"Denmark","Females","Total","From 15 to 64 years","Employed persons","Thousand",1322700,"dk"
"75",2008,"Estonia","Total","Total","From 15 to 64 years","Employed persons","Thousand",632200,"ee"
"81",2008,"Estonia","Males","Total","From 15 to 64 years","Employed persons","Thousand",323300,"ee"
"87",2008,"Estonia","Females","Total","From 15 to 64 years","Employed persons","Thousand",308900,"ee"
"93",2008,"Ireland","Total","Total","From 15 to 64 years","Employed persons","Thousand",2152300,"ie"
"99",2008,"Ireland","Males","Total","From 15 to 64 years","Employed persons","Thousand",1197100,"ie"
"105",2008,"Ireland","Females","Total","From 15 to 64 years","Employed persons","Thousand",955200,"ie"
"111",2008,"Greece","Total","Total","From 15 to 64 years","Employed persons","Thousand",4522900,"gr"
"117",2008,"Greece","Males","Total","From 15 to 64 years","Employed persons","Thousand",2721900,"gr"
"123",2008,"Greece","Females","Total","From 15 to 64 years","Employed persons","Thousand",1801000,"gr"
"129",2008,"Spain","Total","Total","From 15 to 64 years","Employed persons","Thousand",20316500,"es"
"135",2008,"Spain","Males","Total","From 15 to 64 years","Employed persons","Thousand",11708100,"es"
"141",2008,"Spain","Females","Total","From 15 to 64 years","Employed persons","Thousand",8608400,"es"
"147",2008,"France","Total","Total","From 15 to 64 years","Employed persons","Thousand",25792500,"fr"
"153",2008,"France","Males","Total","From 15 to 64 years","Employed persons","Thousand",13611800,"fr"
"159",2008,"France","Females","Total","From 15 to 64 years","Employed persons","Thousand",12180700,"fr"
"165",2008,"Croatia","Total","Total","From 15 to 64 years","Employed persons","Thousand",1725000,"hr"
"171",2008,"Croatia","Males","Total","From 15 to 64 years","Employed persons","Thousand",966300,"hr"
"177",2008,"Croatia","Females","Total","From 15 to 64 years","Employed persons","Thousand",758600,"hr"
"183",2008,"Italy","Total","Total","From 15 to 64 years","Employed persons","Thousand",22698600,"it"
"189",2008,"Italy","Males","Total","From 15 to 64 years","Employed persons","Thousand",13513000,"it"
"195",2008,"Italy","Females","Total","From 15 to 64 years","Employed persons","Thousand",9185600,"it"
"201",2008,"Cyprus","Total","Total","From 15 to 64 years","Employed persons","Thousand",371100,"cy"
"207",2008,"Cyprus","Males","Total","From 15 to 64 years","Employed persons","Thousand",202800,"cy"
"213",2008,"Cyprus","Females","Total","From 15 to 64 years","Employed persons","Thousand",168300,"cy"
"219",2008,"Latvia","Total","Total","From 15 to 64 years","Employed persons","Thousand",1008800,"lv"
"225",2008,"Latvia","Males","Total","From 15 to 64 years","Employed persons","Thousand",507600,"lv"
"231",2008,"Latvia","Females","Total","From 15 to 64 years","Employed persons","Thousand",501200,"lv"
"237",2008,"Lithuania","Total","Total","From 15 to 64 years","Employed persons","Thousand",1396900,"lt"
"243",2008,"Lithuania","Males","Total","From 15 to 64 years","Employed persons","Thousand",702800,"lt"
"249",2008,"Lithuania","Females","Total","From 15 to 64 years","Employed persons","Thousand",694100,"lt"
"255",2008,"Luxembourg","Total","Total","From 15 to 64 years","Employed persons","Thousand",201800,"lu"
"261",2008,"Luxembourg","Males","Total","From 15 to 64 years","Employed persons","Thousand",115300,"lu"
"267",2008,"Luxembourg","Females","Total","From 15 to 64 years","Employed persons","Thousand",86600,"lu"
"273",2008,"Hungary","Total","Total","From 15 to 64 years","Employed persons","Thousand",3818000,"hu"
"279",2008,"Hungary","Males","Total","From 15 to 64 years","Employed persons","Thousand",2075900,"hu"
"285",2008,"Hungary","Females","Total","From 15 to 64 years","Employed persons","Thousand",1742200,"hu"
"291",2008,"Malta","Total","Total","From 15 to 64 years","Employed persons","Thousand",157700,"mt"
"297",2008,"Malta","Males","Total","From 15 to 64 years","Employed persons","Thousand",105000,"mt"
"303",2008,"Malta","Females","Total","From 15 to 64 years","Employed persons","Thousand",52700,"mt"
"309",2008,"Netherlands","Total","Total","From 15 to 64 years","Employed persons","Thousand",8467600,"nl"
"315",2008,"Netherlands","Males","Total","From 15 to 64 years","Employed persons","Thousand",4587600,"nl"
"321",2008,"Netherlands","Females","Total","From 15 to 64 years","Employed persons","Thousand",3880000,"nl"
"327",2008,"Austria","Total","Total","From 15 to 64 years","Employed persons","Thousand",3928700,"at"
"333",2008,"Austria","Males","Total","From 15 to 64 years","Employed persons","Thousand",2121900,"at"
"339",2008,"Austria","Females","Total","From 15 to 64 years","Employed persons","Thousand",1806700,"at"
"345",2008,"Poland","Total","Total","From 15 to 64 years","Employed persons","Thousand",15557400,"pl"
"351",2008,"Poland","Males","Total","From 15 to 64 years","Employed persons","Thousand",8573000,"pl"
"357",2008,"Poland","Females","Total","From 15 to 64 years","Employed persons","Thousand",6984400,"pl"
"363",2008,"Portugal","Total","Total","From 15 to 64 years","Employed persons","Thousand",4785700,"pt"
"369",2008,"Portugal","Males","Total","From 15 to 64 years","Employed persons","Thousand",2542400,"pt"
"375",2008,"Portugal","Females","Total","From 15 to 64 years","Employed persons","Thousand",2243300,"pt"
"381",2008,"Romania","Total","Total","From 15 to 64 years","Employed persons","Thousand",8882200,"ro"
"387",2008,"Romania","Males","Total","From 15 to 64 years","Employed persons","Thousand",4924600,"ro"
"393",2008,"Romania","Females","Total","From 15 to 64 years","Employed persons","Thousand",3957600,"ro"
"399",2008,"Slovenia","Total","Total","From 15 to 64 years","Employed persons","Thousand",975200,"si"
"405",2008,"Slovenia","Males","Total","From 15 to 64 years","Employed persons","Thousand",531800,"si"
"411",2008,"Slovenia","Females","Total","From 15 to 64 years","Employed persons","Thousand",443400,"si"
"417",2008,"Slovakia","Total","Total","From 15 to 64 years","Employed persons","Thousand",2423400,"sk"
"423",2008,"Slovakia","Males","Total","From 15 to 64 years","Employed persons","Thousand",1357200,"sk"
"429",2008,"Slovakia","Females","Total","From 15 to 64 years","Employed persons","Thousand",1066300,"sk"
"435",2008,"Finland","Total","Total","From 15 to 64 years","Employed persons","Thousand",2497200,"fi"
