"","TIME","GEO","SEX","CITIZEN","AGE","WSTATUS","UNIT","Value","isoref"
"5",2008,"Belgium","Total","Total","From 15 to 64 years","Inactive persons","Thousand",2326600,"be"
"11",2008,"Belgium","Males","Total","From 15 to 64 years","Inactive persons","Thousand",948100,"be"
"17",2008,"Belgium","Females","Total","From 15 to 64 years","Inactive persons","Thousand",1378500,"be"
"23",2008,"Bulgaria","Total","Total","From 15 to 64 years","Inactive persons","Thousand",1664700,"bg"
"29",2008,"Bulgaria","Males","Total","From 15 to 64 years","Inactive persons","Thousand",703600,"bg"
"35",2008,"Bulgaria","Females","Total","From 15 to 64 years","Inactive persons","Thousand",961100,"bg"
"41",2008,"Czechia","Total","Total","From 15 to 64 years","Inactive persons","Thousand",2247700,"cz"
"47",2008,"Czechia","Males","Total","From 15 to 64 years","Inactive persons","Thousand",817300,"cz"
"53",2008,"Czechia","Females","Total","From 15 to 64 years","Inactive persons","Thousand",1430400,"cz"
"59",2008,"Denmark","Total","Total","From 15 to 64 years","Inactive persons","Thousand",696800,"dk"
"65",2008,"Denmark","Males","Total","From 15 to 64 years","Inactive persons","Thousand",285300,"dk"
"71",2008,"Denmark","Females","Total","From 15 to 64 years","Inactive persons","Thousand",411500,"dk"
"77",2008,"Estonia","Total","Total","From 15 to 64 years","Inactive persons","Thousand",232700,"ee"
"83",2008,"Estonia","Males","Total","From 15 to 64 years","Inactive persons","Thousand",94900,"ee"
"89",2008,"Estonia","Females","Total","From 15 to 64 years","Inactive persons","Thousand",137700,"ee"
"95",2008,"Ireland","Total","Total","From 15 to 64 years","Inactive persons","Thousand",777500,"ie"
"101",2008,"Ireland","Males","Total","From 15 to 64 years","Inactive persons","Thousand",255700,"ie"
"107",2008,"Ireland","Females","Total","From 15 to 64 years","Inactive persons","Thousand",521800,"ie"
"113",2008,"Greece","Total","Total","From 15 to 64 years","Inactive persons","Thousand",2455800,"gr"
"119",2008,"Greece","Males","Total","From 15 to 64 years","Inactive persons","Thousand",788900,"gr"
"125",2008,"Greece","Females","Total","From 15 to 64 years","Inactive persons","Thousand",1666800,"gr"
"131",2008,"Spain","Total","Total","From 15 to 64 years","Inactive persons","Thousand",8598400,"es"
"137",2008,"Spain","Males","Total","From 15 to 64 years","Inactive persons","Thousand",2937700,"es"
"143",2008,"Spain","Females","Total","From 15 to 64 years","Inactive persons","Thousand",5660700,"es"
"149",2008,"France","Total","Total","From 15 to 64 years","Inactive persons","Thousand",11972400,"fr"
"155",2008,"France","Males","Total","From 15 to 64 years","Inactive persons","Thousand",4942000,"fr"
"161",2008,"France","Females","Total","From 15 to 64 years","Inactive persons","Thousand",7030500,"fr"
"167",2008,"Croatia","Total","Total","From 15 to 64 years","Inactive persons","Thousand",984400,"hr"
"173",2008,"Croatia","Males","Total","From 15 to 64 years","Inactive persons","Thousand",394500,"hr"
"179",2008,"Croatia","Females","Total","From 15 to 64 years","Inactive persons","Thousand",590000,"hr"
"185",2008,"Italy","Total","Total","From 15 to 64 years","Inactive persons","Thousand",14356500,"it"
"191",2008,"Italy","Males","Total","From 15 to 64 years","Inactive persons","Thousand",4951100,"it"
"197",2008,"Italy","Females","Total","From 15 to 64 years","Inactive persons","Thousand",9405400,"it"
"203",2008,"Cyprus","Total","Total","From 15 to 64 years","Inactive persons","Thousand",138100,"cy"
"209",2008,"Cyprus","Males","Total","From 15 to 64 years","Inactive persons","Thousand",46200,"cy"
"215",2008,"Cyprus","Females","Total","From 15 to 64 years","Inactive persons","Thousand",91900,"cy"
"221",2008,"Latvia","Total","Total","From 15 to 64 years","Inactive persons","Thousand",382200,"lv"
"227",2008,"Latvia","Males","Total","From 15 to 64 years","Inactive persons","Thousand",154300,"lv"
"233",2008,"Latvia","Females","Total","From 15 to 64 years","Inactive persons","Thousand",228000,"lv"
"239",2008,"Lithuania","Total","Total","From 15 to 64 years","Inactive persons","Thousand",684800,"lt"
"245",2008,"Lithuania","Males","Total","From 15 to 64 years","Inactive persons","Thousand",297200,"lt"
"251",2008,"Lithuania","Females","Total","From 15 to 64 years","Inactive persons","Thousand",387600,"lt"
"257",2008,"Luxembourg","Total","Total","From 15 to 64 years","Inactive persons","Thousand",105700,"lu"
"263",2008,"Luxembourg","Males","Total","From 15 to 64 years","Inactive persons","Thousand",40800,"lu"
"269",2008,"Luxembourg","Females","Total","From 15 to 64 years","Inactive persons","Thousand",64900,"lu"
"275",2008,"Hungary","Total","Total","From 15 to 64 years","Inactive persons","Thousand",2627700,"hu"
"281",2008,"Hungary","Males","Total","From 15 to 64 years","Inactive persons","Thousand",1060100,"hu"
"287",2008,"Hungary","Females","Total","From 15 to 64 years","Inactive persons","Thousand",1567500,"hu"
"293",2008,"Malta","Total","Total","From 15 to 64 years","Inactive persons","Thousand",116200,"mt"
"299",2008,"Malta","Males","Total","From 15 to 64 years","Inactive persons","Thousand",32900,"mt"
"305",2008,"Malta","Females","Total","From 15 to 64 years","Inactive persons","Thousand",83400,"mt"
"311",2008,"Netherlands","Total","Total","From 15 to 64 years","Inactive persons","Thousand",2265900,"nl"
"317",2008,"Netherlands","Males","Total","From 15 to 64 years","Inactive persons","Thousand",811000,"nl"
"323",2008,"Netherlands","Females","Total","From 15 to 64 years","Inactive persons","Thousand",1454900,"nl"
"329",2008,"Austria","Total","Total","From 15 to 64 years","Inactive persons","Thousand",1448800,"at"
"335",2008,"Austria","Males","Total","From 15 to 64 years","Inactive persons","Thousand",552100,"at"
"341",2008,"Austria","Females","Total","From 15 to 64 years","Inactive persons","Thousand",896600,"at"
"347",2008,"Poland","Total","Total","From 15 to 64 years","Inactive persons","Thousand",9501100,"pl"
"353",2008,"Poland","Males","Total","From 15 to 64 years","Inactive persons","Thousand",3761100,"pl"
"359",2008,"Poland","Females","Total","From 15 to 64 years","Inactive persons","Thousand",5740000,"pl"
"365",2008,"Portugal","Total","Total","From 15 to 64 years","Inactive persons","Thousand",1833100,"pt"
"371",2008,"Portugal","Males","Total","From 15 to 64 years","Inactive persons","Thousand",715000,"pt"
"377",2008,"Portugal","Females","Total","From 15 to 64 years","Inactive persons","Thousand",1118100,"pt"
"383",2008,"Romania","Total","Total","From 15 to 64 years","Inactive persons","Thousand",5584900,"ro"
"389",2008,"Romania","Males","Total","From 15 to 64 years","Inactive persons","Thousand",2207400,"ro"
"395",2008,"Romania","Females","Total","From 15 to 64 years","Inactive persons","Thousand",3377500,"ro"
"401",2008,"Slovenia","Total","Total","From 15 to 64 years","Inactive persons","Thousand",401300,"si"
"407",2008,"Slovenia","Males","Total","From 15 to 64 years","Inactive persons","Thousand",177100,"si"
"413",2008,"Slovenia","Females","Total","From 15 to 64 years","Inactive persons","Thousand",224200,"si"
"419",2008,"Slovakia","Total","Total","From 15 to 64 years","Inactive persons","Thousand",1212900,"sk"
"425",2008,"Slovakia","Males","Total","From 15 to 64 years","Inactive persons","Thousand",458400,"sk"
