"","TIME","GEO","SEX","CITIZEN","AGE","WSTATUS","UNIT","Value","isoref"
"1",2008,"Belgium","Total","Total","From 15 to 64 years","Population","Thousand",7073300,"be"
"7",2008,"Belgium","Males","Total","From 15 to 64 years","Population","Thousand",3556700,"be"
"13",2008,"Belgium","Females","Total","From 15 to 64 years","Population","Thousand",3516500,"be"
"19",2008,"Bulgaria","Total","Total","From 15 to 64 years","Population","Thousand",5169400,"bg"
"25",2008,"Bulgaria","Males","Total","From 15 to 64 years","Population","Thousand",2562400,"bg"
"31",2008,"Bulgaria","Females","Total","From 15 to 64 years","Population","Thousand",2607000,"bg"
"37",2008,"Czechia","Total","Total","From 15 to 64 years","Population","Thousand",7410400,"cz"
"43",2008,"Czechia","Males","Total","From 15 to 64 years","Population","Thousand",3739400,"cz"
"49",2008,"Czechia","Females","Total","From 15 to 64 years","Population","Thousand",3671100,"cz"
"55",2008,"Denmark","Total","Total","From 15 to 64 years","Population","Thousand",3604600,"dk"
"61",2008,"Denmark","Males","Total","From 15 to 64 years","Population","Thousand",1818700,"dk"
"67",2008,"Denmark","Females","Total","From 15 to 64 years","Population","Thousand",1785900,"dk"
"73",2008,"Estonia","Total","Total","From 15 to 64 years","Population","Thousand",902200,"ee"
"79",2008,"Estonia","Males","Total","From 15 to 64 years","Population","Thousand",438600,"ee"
"85",2008,"Estonia","Females","Total","From 15 to 64 years","Population","Thousand",463600,"ee"
"91",2008,"Ireland","Total","Total","From 15 to 64 years","Population","Thousand",3089400,"ie"
"97",2008,"Ireland","Males","Total","From 15 to 64 years","Population","Thousand",1553900,"ie"
"103",2008,"Ireland","Females","Total","From 15 to 64 years","Population","Thousand",1535500,"ie"
"109",2008,"Greece","Total","Total","From 15 to 64 years","Population","Thousand",7365800,"gr"
"115",2008,"Greece","Males","Total","From 15 to 64 years","Population","Thousand",3660700,"gr"
"121",2008,"Greece","Females","Total","From 15 to 64 years","Population","Thousand",3705100,"gr"
"127",2008,"Spain","Total","Total","From 15 to 64 years","Population","Thousand",31506900,"es"
"133",2008,"Spain","Males","Total","From 15 to 64 years","Population","Thousand",15964100,"es"
"139",2008,"Spain","Females","Total","From 15 to 64 years","Population","Thousand",15542800,"es"
"145",2008,"France","Total","Total","From 15 to 64 years","Population","Thousand",39731800,"fr"
"151",2008,"France","Males","Total","From 15 to 64 years","Population","Thousand",19538000,"fr"
"157",2008,"France","Females","Total","From 15 to 64 years","Population","Thousand",20193800,"fr"
"163",2008,"Croatia","Total","Total","From 15 to 64 years","Population","Thousand",2874400,"hr"
"169",2008,"Croatia","Males","Total","From 15 to 64 years","Population","Thousand",1435500,"hr"
"175",2008,"Croatia","Females","Total","From 15 to 64 years","Population","Thousand",1438900,"hr"
"181",2008,"Italy","Total","Total","From 15 to 64 years","Population","Thousand",38713100,"it"
"187",2008,"Italy","Males","Total","From 15 to 64 years","Population","Thousand",19264100,"it"
"193",2008,"Italy","Females","Total","From 15 to 64 years","Population","Thousand",19449000,"it"
"199",2008,"Cyprus","Total","Total","From 15 to 64 years","Population","Thousand",523800,"cy"
"205",2008,"Cyprus","Males","Total","From 15 to 64 years","Population","Thousand",256000,"cy"
"211",2008,"Cyprus","Females","Total","From 15 to 64 years","Population","Thousand",267800,"cy"
"217",2008,"Latvia","Total","Total","From 15 to 64 years","Population","Thousand",1479100,"lv"
"223",2008,"Latvia","Males","Total","From 15 to 64 years","Population","Thousand",710400,"lv"
"229",2008,"Latvia","Females","Total","From 15 to 64 years","Population","Thousand",768700,"lv"
"235",2008,"Lithuania","Total","Total","From 15 to 64 years","Population","Thousand",2169100,"lt"
"241",2008,"Lithuania","Males","Total","From 15 to 64 years","Population","Thousand",1045600,"lt"
"247",2008,"Lithuania","Females","Total","From 15 to 64 years","Population","Thousand",1123500,"lt"
"253",2008,"Luxembourg","Total","Total","From 15 to 64 years","Population","Thousand",318200,"lu"
"259",2008,"Luxembourg","Males","Total","From 15 to 64 years","Population","Thousand",161200,"lu"
"265",2008,"Luxembourg","Females","Total","From 15 to 64 years","Population","Thousand",157000,"lu"
"271",2008,"Hungary","Total","Total","From 15 to 64 years","Population","Thousand",6771600,"hu"
"277",2008,"Hungary","Males","Total","From 15 to 64 years","Population","Thousand",3309600,"hu"
"283",2008,"Hungary","Females","Total","From 15 to 64 years","Population","Thousand",3462100,"hu"
"289",2008,"Malta","Total","Total","From 15 to 64 years","Population","Thousand",284000,"mt"
"295",2008,"Malta","Males","Total","From 15 to 64 years","Population","Thousand",144000,"mt"
"301",2008,"Malta","Females","Total","From 15 to 64 years","Population","Thousand",139900,"mt"
"307",2008,"Netherlands","Total","Total","From 15 to 64 years","Population","Thousand",10970100,"nl"
"313",2008,"Netherlands","Males","Total","From 15 to 64 years","Population","Thousand",5515800,"nl"
"319",2008,"Netherlands","Females","Total","From 15 to 64 years","Population","Thousand",5454300,"nl"
