"","TIME","GEO","SEX","CITIZEN","AGE","WSTATUS","UNIT","Value","isoref"
"4",2008,"Belgium","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",333000,"be"
"10",2008,"Belgium","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",169800,"be"
"16",2008,"Belgium","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",163100,"be"
"22",2008,"Bulgaria","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",198500,"bg"
"28",2008,"Bulgaria","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",103300,"bg"
"34",2008,"Bulgaria","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",95100,"bg"
"40",2008,"Czechia","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",229300,"cz"
"46",2008,"Czechia","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",102200,"cz"
"52",2008,"Czechia","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",127000,"cz"
"58",2008,"Denmark","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",101100,"dk"
"64",2008,"Denmark","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",49400,"dk"
"70",2008,"Denmark","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",51700,"dk"
"76",2008,"Estonia","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",37400,"ee"
"82",2008,"Estonia","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",20300,"ee"
"88",2008,"Estonia","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",17000,"ee"
"94",2008,"Ireland","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",159600,"ie"
"100",2008,"Ireland","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",101100,"ie"
"106",2008,"Ireland","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",58500,"ie"
"112",2008,"Greece","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",387100,"gr"
"118",2008,"Greece","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",149900,"gr"
"124",2008,"Greece","Females","Total","From 15 to 64 years","Unemployed persons","Thousand",237200,"gr"
"130",2008,"Spain","Total","Total","From 15 to 64 years","Unemployed persons","Thousand",2592000,"es"
"136",2008,"Spain","Males","Total","From 15 to 64 years","Unemployed persons","Thousand",1318300,"es"
