"TIME","GEO","SEX","CITIZEN","AGE","WSTATUS","UNIT","Value"
"2008","European Union (current composition)","Total","Total","From 15 to 64 years","Population","Thousand","333,114.6"
"2008","European Union (current composition)","Total","Total","From 15 to 64 years","Active persons","Thousand","235,616.1"
"2008","European Union (current composition)","Total","Total","From 15 to 64 years","Employed persons","Thousand","218,995.4"
"2008","European Union (current composition)","Total","Total","From 15 to 64 years","Unemployed persons","Thousand","16,620.7"
"2008","European Union (current composition)","Total","Total","From 15 to 64 years","Inactive persons","Thousand","97,498.5"
"2008","European Union (current composition)","Total","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","European Union (current composition)","Males","Total","From 15 to 64 years","Population","Thousand","166,003.1"
"2008","European Union (current composition)","Males","Total","From 15 to 64 years","Active persons","Thousand","129,212.4"
"2008","European Union (current composition)","Males","Total","From 15 to 64 years","Employed persons","Thousand","120,613.9"
"2008","European Union (current composition)","Males","Total","From 15 to 64 years","Unemployed persons","Thousand","8,598.5"
"2008","European Union (current composition)","Males","Total","From 15 to 64 years","Inactive persons","Thousand","36,790.7"
"2008","European Union (current composition)","Males","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","European Union (current composition)","Females","Total","From 15 to 64 years","Population","Thousand","167,111.5"
"2008","European Union (current composition)","Females","Total","From 15 to 64 years","Active persons","Thousand","106,403.7"
"2008","European Union (current composition)","Females","Total","From 15 to 64 years","Employed persons","Thousand","98,381.5"
"2008","European Union (current composition)","Females","Total","From 15 to 64 years","Unemployed persons","Thousand","8,022.2"
"2008","European Union (current composition)","Females","Total","From 15 to 64 years","Inactive persons","Thousand","60,707.8"
"2008","European Union (current composition)","Females","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","European Union (before the accession of Croatia)","Total","Total","From 15 to 64 years","Population","Thousand","330,240.3"
"2008","European Union (before the accession of Croatia)","Total","Total","From 15 to 64 years","Active persons","Thousand","233,726.1"
"2008","European Union (before the accession of Croatia)","Total","Total","From 15 to 64 years","Employed persons","Thousand","217,270.4"
"2008","European Union (before the accession of Croatia)","Total","Total","From 15 to 64 years","Unemployed persons","Thousand","16,455.7"
"2008","European Union (before the accession of Croatia)","Total","Total","From 15 to 64 years","Inactive persons","Thousand","96,514.1"
"2008","European Union (before the accession of Croatia)","Total","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","European Union (before the accession of Croatia)","Males","Total","From 15 to 64 years","Population","Thousand","164,567.7"
"2008","European Union (before the accession of Croatia)","Males","Total","From 15 to 64 years","Active persons","Thousand","128,171.4"
"2008","European Union (before the accession of Croatia)","Males","Total","From 15 to 64 years","Employed persons","Thousand","119,647.5"
"2008","European Union (before the accession of Croatia)","Males","Total","From 15 to 64 years","Unemployed persons","Thousand","8,523.8"
"2008","European Union (before the accession of Croatia)","Males","Total","From 15 to 64 years","Inactive persons","Thousand","36,396.3"
"2008","European Union (before the accession of Croatia)","Males","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","European Union (before the accession of Croatia)","Females","Total","From 15 to 64 years","Population","Thousand","165,672.6"
"2008","European Union (before the accession of Croatia)","Females","Total","From 15 to 64 years","Active persons","Thousand","105,554.8"
"2008","European Union (before the accession of Croatia)","Females","Total","From 15 to 64 years","Employed persons","Thousand","97,622.9"
"2008","European Union (before the accession of Croatia)","Females","Total","From 15 to 64 years","Unemployed persons","Thousand","7,931.9"
"2008","European Union (before the accession of Croatia)","Females","Total","From 15 to 64 years","Inactive persons","Thousand","60,117.8"
"2008","European Union (before the accession of Croatia)","Females","Total","From 15 to 64 years","Unknown","Thousand",":"
"2008","European Union (15 countries)","Total","Total","From 15 to 64 years","Population","Thousand","258,908.7"
"2008","European Union (15 countries)","Total","Total","From 15 to 64 years","Active persons","Thousand","187,188.8"
"2008","European Union (15 countries)","Total","Total","From 15 to 64 years","Employed persons","Thousand","173,807.5"
"2008","European Union (15 countries)","Total","Total","From 15 to 64 years","Unemployed persons","Thousand","13,381.3"
